Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,FP_Status,DigiKey,DigiKeyURL,JLCPCB,JLCPCBURL,UnitPrice,ParticleURL
C1,1,100pF,C_1206,,,,smt,Unpolarized capacitor,,,,,,,
D1,1,3A/60V/750mV,D_DO-214AB_SMC,,SS36,,tht,Diode 60 V 3A Surface Mount DO-214AB (SMC),done,SS36FSCT-ND,https://www.digikey.com/en/products/detail/onsemi/SS36/1053019,C391251,https://jlcpcb.com/partdetail/onsemi-SS36/C391251,,
D2,1,1A/40V/500mV,D_DO-214AC_SMA,,SS14,,smt,Diode 40 V 1A Surface Mount DO-214AC (SMA),done,SS14CT-ND,https://www.digikey.com/en/products/detail/onsemi/SS14/965474,C83852,https://jlcpcb.com/partdetail/onsemi-SS14/C83852,,
D3,1,40V,D_DO-214AA_SMB,,SMBJ36A,,tht,58.1V Clamp 10.4A Ipp Tvs Diode Surface Mount DO-214AA (SMBJ),done,SMBJ36ALFCT-ND,https://www.digikey.com/en/products/detail/littelfuse-inc/SMBJ36A/286010,C224020,https://jlcpcb.com/partdetail/Littelfuse-SMBJ36A/C224020,,
F1,1,33V/750mA/1.5A,Fuse_1812,,MF-MSMF075/33X-2,,smt,Polymeric PTC Resettable Fuse 33V 750 mA Ih Surface Mount 1812,done,118-MF-MSMF075/33X-2CT-ND,https://www.digikey.com/en/products/detail/bourns-inc/MF-MSMF075-33X-2/16357034,C3760814,https://jlcpcb.com/partdetail/BOURNS-MF_MSMF075_33X2/C3760814,0.91,
J1,1,RJ45,RJ45_A-2014-2-4-N-T-R,,A-2014-2-4-N-T-R,,tht,"Jack Modular Connector 8p8c (RJ45, Ethernet) Vertical Unshielded",done,AE10396-ND,https://www.digikey.com/en/products/detail/assmann-wsw-components/A-2014-2-4-N-T-R/2183647,,,,
J2,1,PINHD-1X7,PIN_HEADERS_1X07,,,,tht,PIN HEADER,done,,,,,,
J3,1,PINHD-1X12,PIN_HEADERS_1X12,,,,tht,PIN HEADER,done,,,,,,
J4,1,PINHD-1X4,PIN_HEADERS_1X04,,,,tht,PIN HEADER,done,,,,,,
P1,1,24V / 5A,PWR_JACK_PJ-064A,,PJ-064A,,tht,"2.0 mm Center Pin, 5.0 A, Vertical, Panel Mount, PC Pins, Dc Power Jack Connector",done,CP-064A-ND,https://www.digikey.com/en/products/detail/cui-devices/PJ-064A/2627221,,,,
"Q1, Q2",2,220mA / 50V,SOT-23-3,,BSS138,,tht,N-Channel 50 V 2200mA 350mW (Ta) Surface Mount SOT-23-3,done,BSS138CT-ND,https://www.digikey.com/en/products/detail/onsemi/BSS138/244210,C52895,https://jlcpcb.com/partdetail/onsemi-BSS138/C52895,,
R1,1,150kΩ,R_1206,,,,smt,"Resistor, US symbol",done,,,C17916,https://jlcpcb.com/partdetail/18604-1206W4F1503T5E/C17916,,
"R10, R16, R17, R18, R2, R5, R7, R9",8,10kΩ,R_1206,,,,smt,"Resistor, US symbol",done,,,C17902,https://jlcpcb.com/partdetail/18590-1206W4F1002T5E/C17902,,
"R11, R12, R13, R14",4,2.2kΩ,R_1206,,,,smt,"Resistor, US symbol",done,,,C17948,https://jlcpcb.com/partdetail/18636-1206W4F2201T5E/C17948,,
R15,1,200kΩ,R_1206,,,,smt,"Resistor, US symbol",done,,,C17954,https://jlcpcb.com/partdetail/18642-1206W4F2003T5E/C17954,,
R3,1,100kΩ,R_1206,,,,smt,"Resistor, US symbol",done,,,C17900,https://jlcpcb.com/partdetail/18588-1206W4F1003T5E/C17900,,
"R4, R8",2,1kΩ,R_1206,,,,smt,"Resistor, US symbol",done,,,C4410,https://jlcpcb.com/partdetail/4817-1206W4F1001T5E/C4410,,
R6,1,150Ω,R_1206,,,,smt,"Resistor, US symbol",done,,,C17917,https://jlcpcb.com/partdetail/18605-1206W4F1500T5E/C17917,,
U1,1,8-28V in / 5V 5W out,DC_DC_converter_R-78E5.0-1.0,,R-78E5.0-1.0,,tht,Linear Regulator Replacement DC DC Converter 1 Output 5V 1A 8V - 28V Input,done,945-2201-ND,https://www.digikey.com/en/products/detail/recom-power/R-78E5-0-1-0/4930585,,,,
U2,1,Particle2 / Boron,PHOTON2,,PHN2MEA / BRN404,,tht,Particle Photon 2 Wi-Fi enabled development kit,done,,,,,,https://store.particle.io/collections/wifi/products/photon-2
U3,1,A: 1.2 to 3.3V B: 1.8 to 5.5V,SOT-765-1_VSSOP8,,PCA9306DCUR,,smt,Voltage Level Translator Bidirectional 1 Circuit 2 Channel 8-VSSOP,,296-17988-1-ND,https://www.digikey.com/en/products/detail/texas-instruments/pca9306dcur/768359,C33196,https://jlcpcb.com/partdetail/TexasInstruments-PCA9306DCUR/C33196,,
