Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,SK,DigiKey,DigiKeyURL,UnitPrice,ParticleURL
D1,1,3A/60V/750mV,D_DO-214AB_SMC,,SS36,,tht,Diode 60 V 3A Surface Mount DO-214AB (SMC),done,SS36FSCT-ND,https://www.digikey.com/en/products/detail/onsemi/SS36/1053019,,
D2,1,1A/40V/500mV,D_DO-214AC_SMA,,SS14,,smt,Diode 40 V 1A Surface Mount DO-214AC (SMA),done,SS14CT-ND,https://www.digikey.com/en/products/detail/onsemi/SS14/965474,,
D3,1,40V,D_DO-214AA_SMB,,SMBJ36A,,tht,58.1V Clamp 10.4A Ipp Tvs Diode Surface Mount DO-214AA (SMBJ),done,SMBJ36ALFCT-ND,https://www.digikey.com/en/products/detail/littelfuse-inc/SMBJ36A/286010,,
F1,1,33V/750mA/1.5A,Fuse_1812,,MF-MSMF075/33X-2,,smt,Polymeric PTC Resettable Fuse 33V 760 mA Ih Surface Mount 1812,done,118-MF-MSMF075/33X-2CT-ND,https://www.digikey.com/en/products/detail/bourns-inc/MF-MSMF075-33X-2/16357034,0.91,
J1,1,RJ45,RJ45_A-2014-2-4-N-T-R,,A-2014-2-4-N-T-R,,tht,"Jack Modular Connector 8p8c (RJ45, Ethernet) Vertical Unshielded",,AE10396-ND,https://www.digikey.com/en/products/detail/assmann-wsw-components/A-2014-2-4-N-T-R/2183647,,
J2,1,PINHD-1X7,PIN_HEADERS_1X07,,,,tht,PIN HEADER,,,,,
J3,1,PINHD-1X12,PIN_HEADERS_1X12,,,,tht,PIN HEADER,,,,,
J4,1,PINHD-1X4,PIN_HEADERS_1X04,,,,tht,PIN HEADER,,,,,
P1,1,24V / 5A,PWR_JACK_PJ-064A,,PJ-064A,,tht,"2.0 mm Center Pin, 5.0 A, Vertical, Panel Mount, PC Pins, Dc Power Jack Connector",done,CP-064A-ND,https://www.digikey.com/en/products/detail/cui-devices/PJ-064A/2627221,,
"Q1, Q2, Q3, Q4",4,220mA / 50V,SOT-23-3,,BSS138,,tht,N-Channel 50 V 2200mA 350mW (Ta) Surface Mount SOT-23-3,done,BSS138CT-ND,https://www.digikey.com/en/products/detail/onsemi/BSS138/244210,,
R1,1,150kΩ,R_1206,,,,smt,"Resistor, US symbol",done,,,,
"R10, R11, R12, R13, R14, R2, R5, R9",8,10kΩ,R_1206,,,,smt,"Resistor, US symbol",done,,,,
R3,1,100kΩ,R_1206,,,,smt,"Resistor, US symbol",done,,,,
"R4, R8",2,1kΩ,R_1206,,,,smt,"Resistor, US symbol",done,,,,
R6,1,150Ω,R_1206,,,,smt,"Resistor, US symbol",done,,,,
U1,1,8-28V in / 5V 5W out,DC_DC_converter_R-78E5.0-1.0,,R-78E5.0-1.0,,tht,Linear Regulator Replacement DC DC Converter 1 Output 5V 1A 8V - 28V Input,,945-2201-ND,https://www.digikey.com/en/products/detail/recom-power/R-78E5-0-1-0/4930585,,
U2,1,Particle2 / Boron,PHOTON2,,PHN2MEA / BRN404,,tht,Particle Photon 2 Wi-Fi enabled development kit,,,,,https://store.particle.io/collections/wifi/products/photon-2
